"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/107a3c5e-ab5c-4e73-81ab-b11591ee477c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","57","Sapnap","17407875","330","112883","52751","2824223","32294","381686","true","false","English","Sapnap"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b64f8a6d-64b9-4b36-b0ba-e2c9ba103574-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","58","Robleis","7636920","960","18091","7955","2791500","39601","265792","true","false","Spanish","Robleis"
"https://static-cdn.jtvnw.net/jtv_user_pictures/024a97a5-ba44-4665-b77c-69dc7678af44-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","59","Alexby11","20676150","5430","9671","3807","2787560","11845","725678","true","false","Spanish","Alexby11"
"https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","60","Trymacs","213305610","15000","96825","14220","2784948","18831","5534496","true","false","German","Trymacs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b563146b-3b41-4f0e-937f-031357516c23-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","61","AriGameplays","26687490","4155","32414","6422","2751521","163088","1811110","true","false","Spanish","AriGameplays"
"https://static-cdn.jtvnw.net/jtv_user_pictures/47b73fee-b755-4893-a43d-05070e27dbe5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","62","Nightblue3","18768735","10665","4219","1759","2731126","-2892","419193","true","false","English","Nightblue3"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","63","ElMariana","118555170","4395","55476","26975","2721950","176977","2969999","true","false","Spanish","ElMariana"
"https://static-cdn.jtvnw.net/jtv_user_pictures/320226c6-f422-4baf-8ed2-1be7eb3757e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","64","cloakzy","56007870","6465","29991","8663","2721512","10166","879284","true","false","English","cloakzy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fd17325a-7dc2-46c6-8617-e90ec259501c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","65","Loserfruit","10308210","7965","2728","1294","2684860","7122","458907","true","false","English","Loserfruit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/371a4ddd-c4ef-418c-9f42-cfecda78187d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","66","loud_coringa","400555740","7335","128996","54608","2669757","67617","2120571","true","false","Portuguese","loud_coringa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3c7e4307-f540-4415-84b3-513ce143f0ae-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","67","Aydan","87804330","12615","26059","6960","2667504","27971","1411850","true","true","English","Aydan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0294fec8-8572-4517-9b60-12e0705a8893-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","68","Elraenn","119199000","5565","38780","21419","2646346","47091","2441461","true","true","Turkish","Elraenn"
"https://static-cdn.jtvnw.net/jtv_user_pictures/anomaly-profile_image-0be1a6abbc7a9f45-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","69","Anomaly","11693970","5820","4632","2009","2636286","3371","505829","true","false","English","Anomaly"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9fe6686f-d1a0-41a5-9962-5c73997d3dca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","70","IamCristinini","59689875","9390","21199","6356","2631854","43195","2384448","true","false","Spanish","IamCristinini"
"https://static-cdn.jtvnw.net/jtv_user_pictures/imaqtpie-profile_image-8efb10b7bed60d76-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","71","imaqtpie","55082175","11985","10773","4595","2619117","4412","850077","true","false","English","imaqtpie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/28b40271-8bb1-4a27-9ad7-8e9a55e06180-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","72","wtcN","65546520","5010","33303","13083","2570949","21344","2394168","true","true","Turkish","wtcN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/50127da1-6e66-4dcc-8360-0ad4ee899233-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","73","Jelty","282427230","43005","47244","6567","2545049","105879","8049918","true","false","Spanish","Jelty"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f4f7012f-f48a-43ce-b011-7cfe78588719-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","74","Nihachu","10655220","1155","45287","9225","2543298","37411","324680","true","false","English","Nihachu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ccdbd374-71d9-494e-8c91-0720a2bd82f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","75","stableronaldo","20354130","3450","20744","5899","2453813","150553","877393","true","false","English","stableronaldo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/95d00b2e-edd7-45dc-beaf-6d88d50546dd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","76","LOLITOFDEZ","11585940","2355","10153","4919","2384068","59464","728729","true","false","Spanish","LOLITOFDEZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2b451fa3-32fe-4a92-844f-f1b303116ca6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","77","MrSavage","3976650","825","9907","4820","2375228","6985","256261","true","false","English","MrSavage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/lilypichu-profile_image-9a1ba797a9721716-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","78","lilypichu","43730490","5970","21139","7325","2361340","28407","1132276","true","false","English","lilypichu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c2277621-ce23-4f16-b75e-1d12ef23b617-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","79","BadBoyHalo","10609800","1170","18883","9068","2337557","40627","227674","true","false","English","BadBoyHalo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/35879a43-1805-44ff-8fe8-3bfa38f14f9f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","80","MissaSinfonia","4685970","240","23222","19524","2306097","1381","57276","true","false","Spanish","MissaSinfonia"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa32520-ba16-41d5-be86-3e74dc33efa9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","81","EASPORTSFIFA","4834845","390","21078","12397","2226750","34039","166051","true","false","English","EASPORTSFIFA"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8f56178e-94ea-4278-9ab9-cca5d541bc47-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","82","KendineMuzisyen","44336565","3555","34404","12471","2215466","19814","1438803","true","false","Turkish","KendineMuzisyen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bfc9bec4-3dd6-4c5d-849a-0cc6777e42ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","83","Staryuuki","30531495","7230","20363","4222","2204448","32407","2862828","true","false","Spanish","Staryuuki"
"https://static-cdn.jtvnw.net/jtv_user_pictures/37059ce5-e793-4778-84d5-1c6749d9717c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","84","Cellbit","95694930","2550","110652","37527","2199132","10553","2130005","true","false","Portuguese","Cellbit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1cce6c41-aaf8-44c2-ad1b-ef76fb0eede3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","85","YoDa","153331065","12435","28219","12330","2195203","15529","3081319","true","true","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","86","buster","60162210","3675","54461","16370","2195046","51285","2974741","true","false","Russian","buster"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1983df0a-3a85-4cfb-895b-474786d1a94a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","87","DisguisedToast","122867895","6060","45058","20275","2187184","161553","2272723","true","false","English","DisguisedToast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/720866a6-230d-46a3-b627-d6ac53e9bb95-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","88","biyin_","34398150","3465","26122","9927","2157150","56378","1299601","true","false","Spanish","biyin_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f24eb74d-cd92-404b-949a-9ac2747df53f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","89","Rainbow6","95585400","4200","45037","22758","2139944","12728","1125896","true","true","English","Rainbow6"
